video_id,video_comment,video_comment_final,ratio,rank_vc,rank_vf,cutoff_rank
PHuv2KpHwjA,2191,2,0.000913,362,504,1656
A3T4SYm37GI,1099,1,0.000910,639,594,1656
g5ngYFVL9AA,1103,1,0.000907,638,723,1656
Htv3-nfz78U,1112,1,0.000899,634,621,1656
22tm2y1FoEw,1125,1,0.000889,623,561,1656
FTvPxO1Hfuo,1131,1,0.000884,621,614,1656
Nd7nRljkC-U,2265,2,0.000883,351,502,1656
INnwBYIfODE,1160,1,0.000862,608,622,1656
7DBxBf1JZkM,1175,1,0.000851,604,582,1656
9QAI2YHWSZ4,1188,1,0.000842,601,591,1656
tm5SJ5Q13Ug,1198,1,0.000835,597,762,1656
quFGreXfKKg,1210,1,0.000826,592,752,1656
h7KzphrghJo,1216,1,0.000822,590,727,1656
bywe70uLvDs,2436,2,0.000821,332,524,1656
Qb8PsrzH6ZE,1220,1,0.000820,588,651,1656
gcO6GiC4nzQ,1223,1,0.000818,587,725,1656
p46XUK0Pljc,1247,1,0.000802,582,749,1656
R_M8qbZOtfY,1248,1,0.000801,580,656,1656
N9s-skojKqw,1265,1,0.000791,576,638,1656
xGxYFHyOesQ,1269,1,0.000788,575,773,1656
2Adt6nK3-6w,1282,1,0.000780,569,563,1656
-1rq4OYXEv4,1297,1,0.000771,564,551,1656
2CXk5TnGZnw,1302,1,0.000768,562,564,1656
nftFq9WFyZY,3982,3,0.000753,216,454,1656
KvJ6FVr7E7s,1356,1,0.000737,545,631,1656
nO93dOI2QtA,2721,2,0.000735,298,537,1656
1AwrtwRxvlw,1363,1,0.000734,538,557,1656
NGTtl3jyx34,1368,1,0.000731,537,640,1656
ocghG57Z5e0,1372,1,0.000729,534,747,1656
nuZ25Tppz8A,1375,1,0.000727,533,743,1656
hdYERMUMlaw,1395,1,0.000717,526,729,1656
ug6_8Qeb9aw,1418,1,0.000705,518,765,1656
vzTFeRTM3js,9995,7,0.000700,71,359,1656
AEfFh0SVxiI,1471,1,0.000680,505,595,1656
iUi3pE1FElk,1504,1,0.000665,498,734,1656
yw4E0_Wydkk,1514,1,0.000661,495,777,1656
