video_id,video_comment,video_comment_transformer
6I80iiBSRCQ,1738,0
6PcFXzuCMy4,1966,0
6UxJmNfffHs,14926,0
6WBMROufN_k,95,1
6XQDNsIWE1U,448,0
6XsjZiFthTM,121,0
6c5b4DvdHus,6015,0
6fbfrV5qqnU,9338,570
6gGGkzgeLdA,1147,0
6hKvuxBAucg,753,0
6jdGh78qLTg,330,0
6lpPbUxcqjU,4621,216
6p2OcdkjX7o,1824,0
6vEHupXVHRA,989,0
6y7gQM4c4aE,367,0
6z-_fHzkPo8,118,1
7-b6KrRhm40,196,0
74GsYZV8IR8,162,0
7EduOiG7iII,199,0
7GzbvK3vNUE,1116,0
7IGQILU__4g,185,0
7NAa1EDoqHU,175,0
7Ody9AGVuQ8,1736,0
7R3hj9F6SJg,2375,0
7RpoWDeEX8U,508,0
7S7XfRajh9Y,1509,116
7W6PraARYHo,23,0
7WKfy0CQhkc,103,0
7XYWoq40fLE,2194,0
7Xb3mxXhzLA,347,0
7Zm-4gbwIx8,347,0
7_HLva4_CoE,200,0
7_I-bSwBtL4,1301,39
7anmIIwg0gI,646,3
7blMLmjNBak,250,1
7eAoKjAdiH0,144,0
7ft3RIaAh3c,1414,0
7jLXhA7wQv8,255,0
7kLHgnuYx-g,525,0
7mq-p98IIhw,682,76
7rbkHEO9JW8,202,0
7sI5XG8wjIs,33,0
7vVYpONbdO8,1661,202
7yBsu2uiuu4,215,0
80DaR2CVNNk,93805,0
83LYnrz6_0A,6807,0
83Rjg2hMVLE,177,0
84HfQVPSaYo,642,0
85O1-H6K6iM,4,0
86JxfmQryZQ,1951,0
87ywggOkdSI,331,0
88Ryy76kmxk,362,0
8F1RgrdGWb4,70,0
8GM_0qtNBNU,1,0
8ICBuCtcOqo,2462,1
8LrOQFE_vgo,6071,1
8NNvoBOikV0,110,9
8OftsNX_uVY,33,0
8QZJ1Th5J-A,221,0
8S4X83fGd4I,264,0
8Sw27lU3fA4,143,0
8VJ0MkBu_m8,2057,14
8XAeLiSARNU,179,0
8XXk11QIsVo,3265,0
8Xo1V8CIMSk,78,0
8Y72tVwihh8,200,0
8aR2Ct-0y8M,123,0
8bnIWIHlOmQ,185,0
8dwocAz1A7M,1677,0
8fDIKikk2bI,3630,40
8itdlN1g3NQ,421,0
8mM46SdeyD0,780,0
8pq0U380KuY,240,2
8ttAmz0iBWk,468,0
90jiws2YFrM,2530,0
96OeKkvoEHs,26,0
995L4SOJ8D0,2,0
9A0uB4xui6g,287,0
9CBdBLkKETA,167,0
9CLWYPd1aA0,9272,0
9E9o2ceDeWw,6209,0
9EjlT16bX2A,520,1
9Fv9-R7JEI8,33,0
9JVh2ZCsPNA,10291,0
9MD6-ReS_VU,198,0
9MeAP4adUPE,43,0
9QAI2YHWSZ4,1188,1
9QQTQuBtxKg,1542,210
9REgV6_QrAI,224,0
9S4eApyo_zs,886,0
9UO7xeWUOCA,4276,2
9VnufzO0IZc,314,0
9ZieX7ROT7E,476,0
9fAZfGLGR60,542,0
9fNUJFh49Do,2508,0
9fybsqArlng,647,8
9gt-EyGyamc,138,0
9nkAI_fd-us,362,0
9o1ea3O_GTs,2181,0
9ptngRAi39w,35,0
9q8dyxwkATk,7314,143
9s2hpbim6V8,1193,7
9snyknwSrJM,229,0
9tP5WUiJJAA,253,0
9vmyasmeXgQ,193,0
9y-XUCpFqGc,84,0
9ynWB2NzFv0,152,0
9yr0a8zJY_o,64,0
9zKZDDzuDQE,648,0
A3OzMrXOs7A,10,0
A3T4SYm37GI,1099,0
A4gFBpURj1Y,3746,0
A6phHe1uTJ4,595,0
AFH-aqKptSU,2274,0
AFOFe_QJ4IA,214,0
AG-Ozz0pqq0,448,0
AGnWzUU_FRU,5926,0
AIznSWFO1og,901,0
AK3zEGUItJo,2088,0
ANLSr4Et3K8,31,0
AP6y_K_Q55I,861,0
APnLyrN6_Zk,845,0
APrLuGHV8kU,8384,499
AQ0qN5mI60E,312,0
AVwZsRS5KLg,9174,0
AX5yxShC5qY,529,0
A_XbLcuCJ0Q,507,0
A_zeFejlG6M,20,0
AbC8_0FSEC4,423,0
AcVueQZTWOs,2418,0
AcvD8zFZodc,983,0
AcvZjCQDUMo,1320,0
AgZZbbal0qI,67,0
